epoch,train_loss,global_test_acc,global_test_loss,rec_apa,rec_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,w_rn,w_rec,w_pfl,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall
58,1.477598,30.830000,1.995990,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3048,3048,0,1952,1952,0.609600,1.000000
59,1.203002,28.410000,2.005745,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3620,3620,0,1380,1380,0.724000,1.000000
60,1.552680,28.750000,2.025130,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2920,2920,0,2080,2080,0.584000,1.000000
61,1.232548,29.970000,2.015095,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3400,3400,0,1600,1600,0.680000,1.000000
62,1.512022,26.920000,2.053273,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2884,2884,0,2116,2116,0.576800,1.000000
63,1.441525,32.720000,1.972537,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3140,3140,0,1860,1860,0.628000,1.000000
64,1.164815,27.030000,1.985707,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3464,3464,0,1536,1536,0.692800,1.000000
65,1.609530,31.290000,1.985658,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2692,2692,0,2308,2308,0.538400,1.000000
66,1.633568,31.310000,1.991508,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2648,2648,0,2352,2352,0.529600,1.000000
67,1.449680,31.220000,1.986573,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3004,3004,0,1996,1996,0.600800,1.000000
68,1.307776,31.390000,1.978192,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3332,3332,0,1668,1668,0.666400,1.000000
69,1.591560,28.350000,2.031752,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2700,2700,0,2300,2300,0.540000,1.000000
70,1.333912,31.250000,1.996891,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3208,3208,0,1792,1792,0.641600,1.000000
71,1.559877,25.640000,2.051639,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2824,2824,0,2176,2176,0.564800,1.000000
72,1.611085,26.130000,2.089101,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2612,2612,0,2388,2388,0.522400,1.000000
73,1.447305,28.960000,2.065060,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3000,3000,0,2000,2000,0.600000,1.000000
74,1.446817,19.650000,2.095203,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2980,2980,0,2020,2020,0.596000,1.000000
75,1.185652,33.570000,1.964080,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3596,3596,0,1404,1404,0.719200,1.000000
76,1.701196,30.320000,2.023658,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2544,2544,0,2456,2456,0.508800,1.000000
77,1.109951,27.160000,2.051656,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3592,3592,0,1408,1408,0.718400,1.000000
78,1.716028,28.120000,2.043663,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2380,2380,0,2620,2620,0.476000,1.000000
79,1.244965,32.560000,1.985618,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3336,3336,0,1664,1664,0.667200,1.000000
80,1.925890,29.470000,2.050560,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,1824,1824,0,3176,3176,0.364800,1.000000
81,1.595870,30.860000,2.018389,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2576,2576,0,2424,2424,0.515200,1.000000
82,1.325433,31.850000,1.972724,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3364,3364,0,1636,1636,0.672800,1.000000
83,1.615540,26.800000,2.087039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2552,2552,0,2448,2448,0.510400,1.000000
84,1.346760,29.970000,2.041785,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3192,3192,0,1808,1808,0.638400,1.000000
85,1.328886,26.950000,2.089096,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3024,3024,0,1976,1976,0.604800,1.000000
86,1.676975,27.020000,2.075300,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2456,2456,0,2544,2544,0.491200,1.000000
87,1.338506,23.430000,2.103943,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3204,3204,0,1796,1796,0.640800,1.000000
