epoch,train_loss,global_test_acc,global_test_loss,rec_apa,rec_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,w_rn,w_rec,w_pfl,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall
68,1.396657,37.880000,1.929729,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15316,15316,0,9684,9684,0.612640,1.000000
69,1.531971,34.450000,1.973390,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14028,14028,0,10972,10972,0.561120,1.000000
70,1.467976,35.440000,1.954841,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14556,14556,0,10444,10444,0.582240,1.000000
71,1.447196,37.120000,1.942587,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14796,14796,0,10204,10204,0.591840,1.000000
72,1.382597,37.360000,1.923485,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15448,15448,0,9552,9552,0.617920,1.000000
73,1.327653,36.580000,1.927696,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,16132,16132,0,8868,8868,0.645280,1.000000
74,1.408652,35.620000,1.939489,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15008,15008,0,9992,9992,0.600320,1.000000
75,1.367911,36.910000,1.929535,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15592,15592,0,9408,9408,0.623680,1.000000
76,1.463168,35.650000,1.946787,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14772,14772,0,10228,10228,0.590880,1.000000
77,1.344343,35.780000,1.930759,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15928,15928,0,9072,9072,0.637120,1.000000
78,1.410323,36.570000,1.924132,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15068,15068,0,9932,9932,0.602720,1.000000
79,1.403124,33.740000,1.939573,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15644,15644,0,9356,9356,0.625760,1.000000
80,1.461636,34.430000,1.946870,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14560,14560,0,10440,10440,0.582400,1.000000
81,1.379319,34.710000,1.946614,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15372,15372,0,9628,9628,0.614880,1.000000
82,1.414123,35.860000,1.943035,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15220,15220,0,9780,9780,0.608800,1.000000
83,1.430217,35.720000,1.937577,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14560,14560,0,10440,10440,0.582400,1.000000
84,1.460889,35.240000,1.940548,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14672,14672,0,10328,10328,0.586880,1.000000
85,1.379996,34.580000,1.941571,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15280,15280,0,9720,9720,0.611200,1.000000
86,1.477817,32.820000,1.961910,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14536,14536,0,10464,10464,0.581440,1.000000
87,1.322977,35.240000,1.926184,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15912,15912,0,9088,9088,0.636480,1.000000
88,1.454586,34.650000,1.951742,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14680,14680,0,10320,10320,0.587200,1.000000
89,1.394202,36.000000,1.938607,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15192,15192,0,9808,9808,0.607680,1.000000
90,1.345688,35.330000,1.945732,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15668,15668,0,9332,9332,0.626720,1.000000
91,1.379113,34.820000,1.943260,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15144,15144,0,9856,9856,0.605760,1.000000
92,1.495702,33.280000,1.973971,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,13992,13992,0,11008,11008,0.559680,1.000000
93,1.305409,35.610000,1.941373,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15912,15912,0,9088,9088,0.636480,1.000000
94,1.475823,34.480000,1.946134,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14112,14112,0,10888,10888,0.564480,1.000000
95,1.282475,34.370000,1.929243,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,16224,16224,0,8776,8776,0.648960,1.000000
96,1.416615,35.480000,1.925954,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14520,14520,0,10480,10480,0.580800,1.000000
97,1.480649,34.140000,1.948607,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,13948,13948,0,11052,11052,0.557920,1.000000
98,1.378747,34.700000,1.945370,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15268,15268,0,9732,9732,0.610720,1.000000
99,1.420335,33.960000,1.953183,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14816,14816,0,10184,10184,0.592640,1.000000
100,0.492179,41.000000,1.808079,0.000000,0.000000,0.000000,0.000000,0.612240,0.039920,0.612240,0.333400,1,0.600000,0.200000,0.200000,15306,998,15306,25000,14292,15516,1224,1014,2238,0.933751,0.921114
101,0.458596,43.490000,1.702876,0.000000,0.000000,0.000000,0.000000,0.584520,0.000000,0.584520,0.353160,0,0.600000,0.200000,0.200000,14613,0,14613,25000,13647,15020,1373,966,2339,0.933894,0.908589
102,0.415002,47.280000,1.611035,0.000000,0.000000,0.000000,0.000000,0.599840,0.000000,0.599840,0.370360,0,0.600000,0.200000,0.200000,14996,0,14996,25000,14170,15672,1502,826,2328,0.944919,0.904160
103,0.456531,46.530000,1.593458,0.000000,0.000000,0.000000,0.000000,0.578760,0.000000,0.578760,0.403280,0,0.600000,0.200000,0.200000,14469,0,14469,25000,13453,14348,895,1016,1911,0.929781,0.937622
104,0.437630,43.750000,1.579216,0.000000,0.000000,0.000000,0.000000,0.605080,0.000000,0.605080,0.402440,0,0.600000,0.200000,0.200000,15127,0,15127,25000,14000,15072,1072,1127,2199,0.925497,0.928875
105,0.373550,47.580000,1.536554,0.000000,0.000000,0.000000,0.000000,0.585600,0.013120,0.585600,0.382760,1,0.600000,0.200000,0.200000,14640,328,14640,25000,13936,14872,936,704,1640,0.951913,0.937063
106,0.369492,47.990000,1.498402,0.000000,0.000000,0.000000,0.000000,0.605840,0.000000,0.605840,0.417440,0,0.600000,0.200000,0.200000,15146,0,15146,25000,14263,15292,1029,883,1912,0.941701,0.932710
107,0.451834,48.830000,1.487780,0.000000,0.000000,0.000000,0.000000,0.580440,0.000000,0.580440,0.403960,0,0.600000,0.200000,0.200000,14511,0,14511,25000,13241,14136,895,1270,2165,0.912480,0.936686
108,0.427273,48.860000,1.465012,0.000000,0.000000,0.000000,0.000000,0.606240,0.000000,0.606240,0.422360,0,0.600000,0.200000,0.200000,15156,0,15156,25000,14034,14880,846,1122,1968,0.925970,0.943145
109,0.403278,48.640000,1.461040,0.000000,0.000000,0.000000,0.000000,0.600960,0.000000,0.600960,0.429840,0,0.600000,0.200000,0.200000,15024,0,15024,25000,13975,15064,1089,1049,2138,0.930178,0.927708
110,0.354597,48.300000,1.471878,0.000000,0.000000,0.000000,0.000000,0.618960,0.014640,0.618960,0.435720,1,0.600000,0.200000,0.200000,15474,366,15474,25000,14714,15712,998,760,1758,0.950885,0.936482
111,0.483919,47.240000,1.480725,0.000000,0.000000,0.000000,0.000000,0.591840,0.000000,0.591840,0.434640,0,0.600000,0.200000,0.200000,14796,0,14796,25000,13434,14340,906,1362,2268,0.907948,0.936820
112,0.459011,50.250000,1.431814,0.000000,0.000000,0.000000,0.000000,0.611600,0.000000,0.611600,0.395360,0,0.600000,0.200000,0.200000,15290,0,15290,25000,14083,15040,957,1207,2164,0.921060,0.936370
