epoch,train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall,recover_true_clean_count,recover_false_clean_count,recover_precision
40,1.377756,31.970000,1.989969,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3196,3196,0,1804,1804,0.639200,1.000000,0,0,0.000000
41,1.439399,26.830000,2.008813,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3036,3036,0,1964,1964,0.607200,1.000000,0,0,0.000000
42,1.460758,32.260000,1.997228,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3112,3112,0,1888,1888,0.622400,1.000000,0,0,0.000000
43,1.387821,29.260000,1.997495,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3152,3152,0,1848,1848,0.630400,1.000000,0,0,0.000000
44,1.527878,32.170000,1.988146,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2976,2976,0,2024,2024,0.595200,1.000000,0,0,0.000000
45,1.393449,32.020000,1.969256,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3204,3204,0,1796,1796,0.640800,1.000000,0,0,0.000000
46,1.473114,27.590000,2.000861,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2872,2872,0,2128,2128,0.574400,1.000000,0,0,0.000000
47,1.274316,29.040000,1.998770,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3396,3396,0,1604,1604,0.679200,1.000000,0,0,0.000000
48,1.509620,28.810000,2.003762,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2756,2756,0,2244,2244,0.551200,1.000000,0,0,0.000000
49,1.755240,28.400000,2.049890,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2452,2452,0,2548,2548,0.490400,1.000000,0,0,0.000000
50,1.469824,25.800000,2.054689,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2912,2912,0,2088,2088,0.582400,1.000000,0,0,0.000000
51,1.648000,28.290000,2.067285,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2612,2612,0,2388,2388,0.522400,1.000000,0,0,0.000000
52,1.368853,29.370000,2.052905,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3136,3136,0,1864,1864,0.627200,1.000000,0,0,0.000000
53,1.428028,29.850000,2.014451,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2952,2952,0,2048,2048,0.590400,1.000000,0,0,0.000000
