epoch,train_acc,train_loss,test_acc,test_loss,local_train_loss,selected_clients,total_count,actual_round_clean_count,actual_round_noisy_count,fedrn_clean_count,fedrn_noisy_count,train_count,actual_train_clean_count,actual_train_noisy_count,missed_clean_count,false_clean_count,correctly_excluded_noisy_count,actual_round_clean_ratio,fedrn_clean_ratio,fedrn_noisy_ratio,actual_train_clean_ratio,clean_recall,train_ratio
16,19.308000,2.220367,26.080000,2.107999,1.637449,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
17,20.610000,2.190759,27.630000,2.043907,1.642341,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
18,20.072000,2.209555,27.860000,2.049792,1.632756,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
19,18.746000,2.203527,23.810000,2.083502,1.646771,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
20,19.086000,2.212957,26.340000,2.093834,1.650512,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
21,20.990000,2.201790,28.310000,2.083797,1.631754,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
22,19.382000,2.219769,24.560000,2.085833,1.623241,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
23,19.390000,2.205804,25.740000,2.094638,1.617350,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
24,20.674000,2.184875,27.840000,2.043205,1.618576,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
25,18.608000,2.215841,23.360000,2.101938,1.617650,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
26,20.788000,2.212778,28.660000,2.087868,1.656422,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
27,18.336000,2.211466,23.900000,2.090140,1.635379,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
28,22.050000,2.186474,29.670000,2.030013,1.612932,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
29,22.166000,2.194728,29.100000,2.061625,1.604807,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
30,20.606000,2.192257,26.390000,2.057565,1.620775,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
31,20.652000,2.193009,26.310000,2.057072,1.626681,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
32,20.798000,2.185956,29.020000,2.045991,1.630840,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
