epoch,global_test_acc,global_test_loss,train_loss,clean_ratio,net2_holdout_acc,net2_holdout_loss
188,23.670000,3.088171,1.247755,0.757800,-1,-1
189,28.260000,3.026598,1.124484,0.764000,-1,-1
190,31.390000,2.972800,0.858635,0.839600,-1,-1
191,32.220000,2.972284,1.016691,0.771600,-1,-1
192,31.330000,2.985579,1.156153,0.778800,-1,-1
193,31.860000,2.976743,1.087905,0.794600,-1,-1
194,32.650000,2.935472,1.140161,0.811600,-1,-1
195,28.610000,3.002275,1.089649,0.781800,-1,-1
196,23.180000,3.142729,1.331016,0.754400,-1,-1
197,30.090000,3.014558,0.969874,0.904600,-1,-1
198,26.460000,3.112260,1.248095,0.753400,-1,-1
199,28.180000,3.026832,1.206313,0.821600,-1,-1
200,29.230000,3.031557,1.085674,0.751800,-1,-1
201,25.780000,3.052074,1.042720,0.720000,-1,-1
202,26.320000,3.082973,0.923347,0.790400,-1,-1
203,26.140000,3.133846,0.737224,0.748800,-1,-1
204,29.670000,3.043194,1.298104,0.809200,-1,-1
205,24.350000,3.110901,1.239303,0.813000,-1,-1
206,23.070000,3.160922,1.021120,0.788600,-1,-1
207,29.660000,3.058689,1.034100,0.786600,-1,-1
208,26.050000,3.134683,1.479964,0.766400,-1,-1
209,23.000000,3.130720,1.194235,0.766000,-1,-1
210,26.280000,3.162299,0.934716,0.787200,-1,-1
211,28.330000,3.083443,0.952530,0.783400,-1,-1
212,24.150000,3.191046,1.017009,0.727000,-1,-1
213,25.680000,3.100817,1.143462,0.832000,-1,-1
214,20.330000,3.324603,0.969010,0.729200,-1,-1
215,26.030000,3.141730,0.814254,0.741000,-1,-1
216,26.480000,3.128511,1.002349,0.775400,-1,-1
217,29.410000,3.093975,1.006763,0.768200,-1,-1
218,25.590000,3.113716,1.423621,0.723000,-1,-1
219,30.270000,3.048629,0.801998,0.827400,-1,-1
220,25.840000,3.161619,1.148682,0.850200,-1,-1
221,25.280000,3.114502,1.483641,0.799000,-1,-1
222,23.670000,3.165729,1.210400,0.756000,-1,-1
223,25.250000,3.165572,1.184716,0.799000,-1,-1
224,28.330000,3.117753,1.022979,0.855400,-1,-1
225,24.830000,3.179261,1.135085,0.876600,-1,-1
226,16.200000,3.355519,1.134957,0.773400,-1,-1
227,23.360000,3.232786,1.023094,0.728400,-1,-1
228,26.160000,3.168338,1.016276,0.751800,-1,-1
229,29.120000,3.137110,1.159800,0.839000,-1,-1
230,27.830000,3.123774,1.106856,0.789800,-1,-1
