epoch,global_acc,global_loss,selected_clients,net2_avg_acc,best_net2_client,best_net2_acc,best_net2_used,fedrn_clean_ratio,fedrn_precision,fedrn_recall,bestnet2_clean_ratio,bestnet2_precision,bestnet2_recall,final_clean_ratio,final_precision,final_recall,missed_clean,false_clean,net1_train_loss,net2_train_loss
241,24.950000,2.681084,85|72|64|28|78|10|73|47|21|24,66.600000,64,88.000000,1,0.851750,0.645142,0.916597,0.785750,0.669106,0.876981,0.846500,0.642942,0.907840,221,1209,1.031199,1.011283
242,25.390000,2.651201,32|17|68|27|85|66|90|71|0|74,70.400000,0,100.000000,1,0.850250,0.606292,0.893801,0.632250,0.806248,0.883832,0.847250,0.610210,0.896402,239,1321,1.039388,1.007757
243,29.180000,2.575982,45|95|10|32|52|20|40|73|6|23,69.000000,6,93.000000,1,0.791500,0.736892,0.853016,0.704250,0.828186,0.853016,0.790500,0.742568,0.858501,387,814,0.719862,0.854664
244,28.800000,2.596238,3|23|31|92|72|82|18|59|81|78,66.400000,3,97.000000,1,0.874500,0.612064,0.939035,0.708000,0.749647,0.931140,0.869000,0.615650,0.938596,140,1336,1.048310,1.056866
245,30.490000,2.506113,65|57|20|50|89|14|45|42|27|31,65.000000,14,90.000000,1,0.798750,0.734272,0.904046,0.740500,0.778190,0.888247,0.792250,0.743768,0.908285,238,812,0.804089,1.013890
246,28.930000,2.556010,66|17|79|43|12|45|88|13|9|4,69.200000,9,100.000000,1,0.812250,0.701447,0.813348,0.709750,0.807679,0.818344,0.812750,0.705321,0.818344,509,958,0.853232,0.810491
247,30.680000,2.586222,81|69|49|46|0|2|4|37|25|11,74.900000,0,100.000000,1,0.804000,0.819341,0.888102,0.767750,0.867144,0.897540,0.795250,0.835272,0.895517,310,524,0.527047,0.728173
248,27.350000,2.702436,90|55|3|26|25|45|9|8|12|2,76.800000,9,100.000000,1,0.847500,0.814159,0.883766,0.739750,0.918554,0.870317,0.833500,0.827534,0.883445,364,575,0.530632,0.562077
249,29.800000,2.558572,30|64|39|99|45|42|53|74|7|56,76.400000,42,93.000000,1,0.871250,0.677475,0.993687,0.769750,0.751543,0.973906,0.851500,0.694069,0.994949,12,1042,1.019168,1.014888
250,25.760000,2.610685,26|55|51|31|29|71|98|43|68|36,61.500000,29,99.000000,1,0.826250,0.635401,0.883095,0.737250,0.701594,0.870059,0.820000,0.639939,0.882675,279,1181,1.029352,1.040898
251,24.620000,2.644087,35|91|6|32|30|12|86|22|89|16,66.400000,6,96.000000,1,0.770500,0.719338,0.832832,0.731750,0.757431,0.832832,0.769750,0.722637,0.835838,437,854,0.757569,0.862574
252,28.170000,2.573789,52|70|8|1|68|29|16|2|66|15,82.200000,2,100.000000,1,0.881750,0.782535,0.933378,0.701250,0.978966,0.928644,0.884250,0.784280,0.938113,183,763,0.691062,0.699118
253,27.330000,2.556145,57|9|94|15|29|86|91|31|0|68,68.300000,9,100.000000,1,0.871250,0.671162,0.947731,0.788750,0.729952,0.933144,0.869750,0.670882,0.945705,134,1145,0.875679,0.872163
254,30.770000,2.540494,5|25|72|14|65|8|75|84|52|68,63.700000,8,95.000000,1,0.858250,0.621322,0.851157,0.717500,0.735889,0.842777,0.840000,0.636905,0.853951,366,1220,0.969421,0.928644
255,32.190000,2.504745,8|32|85|52|3|38|91|33|9|81,72.900000,9,100.000000,1,0.856500,0.736427,0.962243,0.792000,0.781881,0.944699,0.849000,0.745289,0.965294,91,865,0.702344,0.828370
256,24.920000,2.619043,17|7|73|29|70|83|9|82|56|93,71.700000,9,100.000000,1,0.875750,0.617756,0.923208,0.734750,0.734263,0.920648,0.859500,0.629727,0.923635,179,1273,1.013846,1.015054
257,27.030000,2.636245,76|29|79|16|44|0|92|46|28|94,64.000000,29,100.000000,1,0.805000,0.635714,0.855769,0.743000,0.672611,0.835702,0.787750,0.652809,0.859950,335,1094,0.893113,0.993741
258,30.360000,2.594954,34|81|72|41|59|54|39|42|51|5,63.400000,5,91.000000,1,0.820750,0.642705,0.852525,0.605250,0.835192,0.816970,0.788000,0.670685,0.854141,361,1038,0.923524,1.000147
259,27.380000,2.633706,94|12|63|11|76|96|45|58|3|15,59.400000,3,96.000000,1,0.868000,0.627016,0.874297,0.737000,0.738128,0.873896,0.814500,0.669429,0.875904,309,1077,0.903004,0.942408
260,26.560000,2.637174,93|99|33|78|47|94|15|20|96|48,59.300000,47,86.000000,1,0.866750,0.530141,0.913973,0.851250,0.529515,0.896569,0.868250,0.529801,0.914968,171,1633,1.224509,1.153290
261,25.740000,2.654596,55|76|36|42|71|20|75|31|97|39,59.100000,20,83.000000,1,0.805750,0.605337,0.860229,0.739500,0.641650,0.836861,0.805000,0.605901,0.860229,317,1269,1.068010,1.105182
262,31.440000,2.530116,26|27|21|93|97|62|36|91|67|3,59.100000,3,96.000000,1,0.868000,0.628456,0.936481,0.716000,0.742668,0.912876,0.868250,0.628851,0.937339,146,1289,1.019043,1.042873
263,29.050000,2.621009,35|56|0|82|92|17|26|37|98|52,71.200000,0,100.000000,1,0.845500,0.628622,0.878876,0.704000,0.736861,0.857792,0.811750,0.652910,0.876395,299,1127,0.904620,0.987540
264,30.180000,2.531674,87|48|50|99|42|54|27|66|18|46,62.300000,18,92.000000,1,0.817000,0.623011,0.890639,0.720500,0.690146,0.870079,0.812750,0.626269,0.890639,250,1215,1.020170,1.085779
265,28.120000,2.590576,66|56|26|17|75|48|30|73|31|99,61.300000,30,88.000000,1,0.809500,0.599135,0.830479,0.714750,0.663169,0.811644,0.811750,0.597167,0.830051,397,1308,1.024558,1.016620
266,27.360000,2.619618,54|92|9|64|99|97|79|8|17|50,57.200000,9,100.000000,1,0.853250,0.533255,0.832952,0.744750,0.606915,0.827460,0.852250,0.534761,0.834325,362,1586,1.139901,1.025644
267,26.570000,2.707086,94|9|21|19|33|64|63|71|2|66,73.900000,9,100.000000,1,0.906250,0.711724,0.995755,0.787500,0.813968,0.989579,0.907000,0.713065,0.998456,4,1041,0.846416,0.865950
268,29.750000,2.590599,14|73|40|60|43|3|44|80|72|51,67.200000,14,95.000000,1,0.883500,0.619128,0.886548,0.687000,0.779840,0.868314,0.851250,0.643465,0.887763,277,1214,1.068054,1.001415
269,29.320000,2.586230,44|19|36|8|86|71|55|56|76|30,65.500000,8,93.000000,1,0.854250,0.635938,0.881899,0.694500,0.764939,0.862419,0.851250,0.639354,0.883523,287,1228,1.089871,0.986434
270,32.620000,2.498980,60|5|57|78|42|46|4|24|27|51,80.000000,5,94.000000,1,0.893750,0.759720,0.990157,0.732250,0.916012,0.978126,0.895000,0.762011,0.994532,15,852,0.817032,0.842900
271,29.850000,2.565291,45|98|20|96|68|79|1|67|2|99,61.400000,2,100.000000,1,0.895750,0.586101,0.970425,0.770500,0.680727,0.969501,0.898750,0.589430,0.979205,45,1476,1.049741,1.000039
272,29.400000,2.588433,98|7|17|8|84|52|80|88|66|6,67.800000,8,95.000000,1,0.890750,0.611283,0.913208,0.757250,0.711786,0.903983,0.873000,0.626002,0.916562,199,1306,1.025750,0.951397
