epoch,client_id,set_name,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
100,2,scoreA,0,0,0,0,0,0,0,0,0,394
100,2,fedrn,0,0,0,0,0,0,0,0,0,394
100,2,final,0,0,0,0,0,0,0,0,0,394
100,88,scoreA,116,10,19,16,16,29,17,15,18,25
100,88,fedrn,114,0,3,0,0,15,2,3,0,5
100,88,final,114,0,3,0,0,15,2,3,0,5
100,93,scoreA,12,20,14,17,30,8,55,7,6,70
100,93,fedrn,1,3,0,3,20,0,65,0,0,69
100,93,final,1,3,0,3,20,0,65,0,0,69
101,42,scoreA,4,145,2,4,5,3,0,2,117,3
101,42,fedrn,0,149,0,0,0,0,0,0,117,0
101,42,final,0,149,0,0,0,0,0,0,117,0
101,7,scoreA,188,172,0,0,0,0,0,0,0,0
101,7,fedrn,189,184,0,0,0,0,0,0,0,0
101,7,final,189,184,0,0,0,0,0,0,0,0
101,26,scoreA,0,0,1,1,3,1,0,150,0,147
101,26,fedrn,0,0,0,0,0,0,0,155,0,159
101,26,final,0,0,0,0,0,0,0,155,0,159
101,54,scoreA,0,115,0,0,0,0,117,0,0,0
101,54,fedrn,0,114,0,0,0,0,115,0,0,0
101,54,final,0,114,0,0,0,0,115,0,0,0
101,33,scoreA,0,0,0,0,0,140,151,0,0,0
101,33,fedrn,0,0,0,0,0,142,139,0,0,0
101,33,final,0,0,0,0,0,142,139,0,0,0
101,61,scoreA,0,0,0,0,0,0,205,0,0,0
101,61,fedrn,0,0,0,0,0,0,205,0,0,0
101,61,final,0,0,0,0,0,0,205,0,0,0
101,66,scoreA,13,93,14,6,90,15,4,2,8,14
101,66,fedrn,0,103,0,0,92,0,0,0,0,0
101,66,final,0,103,0,0,92,0,0,0,0,0
101,45,scoreA,6,3,6,2,130,131,2,0,4,1
101,45,fedrn,0,0,0,0,133,138,0,0,0,0
101,45,final,0,0,0,0,133,138,0,0,0,0
101,1,scoreA,0,0,0,0,185,0,0,0,187,0
101,1,fedrn,0,0,0,0,194,0,0,0,192,0
101,1,final,0,0,0,0,194,0,0,0,192,0
101,86,scoreA,15,61,29,63,14,16,13,16,11,18
101,86,fedrn,5,59,34,68,4,4,5,5,2,0
101,86,final,5,59,34,68,4,4,5,5,2,0
101,97,scoreA,1,11,7,8,67,7,2,68,1,4
101,97,fedrn,0,1,0,0,72,0,0,69,0,0
101,97,final,0,1,0,0,72,0,0,69,0,0
101,78,scoreA,0,0,76,7,101,8,1,0,0,2
101,78,fedrn,0,0,75,0,101,0,0,0,0,0
101,78,final,0,0,75,0,101,0,0,0,0,0
101,90,scoreA,0,14,17,10,12,17,43,10,66,18
101,90,fedrn,0,2,2,0,0,4,58,1,63,0
101,90,final,0,2,2,0,0,4,58,1,63,0
