epoch,global_test_acc,global_test_loss,train_loss,clean_ratio,selection_precision,selection_recall,false_clean,missed_clean,neighbor_net2_used_ratio
186,31.680000,2.488864,1.090756,0.790000,0.641772,0.827350,1415,529,0.000000
187,28.510000,2.534865,1.275345,0.868000,0.551382,0.966478,1947,83,0.000000
188,31.620000,2.506987,1.286299,0.815200,0.526497,0.782070,1930,598,0.000000
189,34.060000,2.408522,0.752314,0.803600,0.774266,0.878814,907,429,0.000000
190,32.800000,2.424591,0.875990,0.758200,0.669744,0.798428,1252,641,0.000000
191,29.270000,2.493352,1.292152,0.897000,0.536901,0.963200,2077,92,0.000000
192,33.430000,2.441821,0.891866,0.808000,0.709158,0.811155,1175,667,0.000000
193,34.560000,2.397259,0.883505,0.845400,0.701916,0.937737,1260,197,0.000000
194,32.780000,2.411721,0.929871,0.847400,0.688459,0.894785,1320,343,0.000000
195,31.550000,2.480006,1.303040,0.801000,0.533084,0.743384,1870,737,0.000000
196,33.350000,2.454762,1.049103,0.865600,0.689233,0.946383,1345,169,0.000000
197,27.470000,2.543982,1.308929,0.881200,0.521108,0.877676,2110,320,0.000000
198,28.800000,2.523348,1.114324,0.782800,0.602708,0.800204,1555,589,0.000000
199,33.400000,2.435643,1.193027,0.804400,0.576579,0.860163,1703,377,0.000000
200,30.280000,2.488769,1.046494,0.876200,0.673819,0.940127,1429,188,1.000000
