epoch,phase,selected_client_count,selected_net2_current_holdout_acc_avg,selected_net2_best_holdout_acc_avg,selected_net2_best_epoch_avg
54,net2_search,10,74.400000,84.400000,20.900000
55,net2_search,10,79.300000,86.700000,23.400000
56,net2_search,10,72.700000,85.000000,22.800000
57,net2_search,10,78.000000,85.500000,13.300000
58,net2_search,10,69.900000,78.200000,28.100000
59,net2_search,10,80.600000,85.900000,29.100000
60,net2_search,10,70.000000,81.100000,16.700000
61,net2_search,10,78.300000,85.800000,29.100000
62,net2_search,10,71.600000,81.200000,27.300000
63,net2_search,10,70.400000,82.000000,21.500000
64,net2_search,10,75.000000,80.000000,35.000000
65,net2_search,10,64.000000,77.200000,34.800000
66,net2_search,10,68.800000,80.800000,16.200000
67,net2_search,10,77.400000,84.700000,23.400000
68,net2_search,10,74.300000,82.700000,22.500000
69,net2_search,10,64.100000,75.900000,28.100000
70,net2_search,10,75.800000,82.200000,24.100000
71,net2_search,10,70.000000,80.400000,20.300000
72,net2_search,10,64.100000,75.300000,18.500000
73,net2_search,10,73.100000,85.900000,39.100000
74,net2_search,10,79.300000,90.700000,21.200000
75,net2_search,10,83.400000,88.400000,50.600000
76,net2_search,10,63.000000,75.800000,22.200000
77,net2_search,10,76.600000,82.600000,38.000000
78,net2_search,10,60.900000,76.400000,40.600000
79,net2_search,10,77.700000,86.700000,43.700000
80,net2_search,10,52.300000,70.600000,28.400000
81,net2_search,10,63.400000,78.300000,17.800000
82,net2_search,10,74.000000,84.000000,58.200000
83,net2_search,10,58.500000,75.100000,20.200000
84,net2_search,10,73.300000,87.200000,35.800000
85,net2_search,10,70.700000,80.800000,26.000000
86,net2_search,10,62.800000,78.900000,34.700000
87,net2_search,10,70.700000,84.200000,48.300000
88,net2_search,10,69.400000,85.200000,17.000000
89,net2_search,10,68.800000,83.800000,32.500000
90,net2_search,10,78.900000,87.200000,38.200000
91,net2_search,10,60.100000,79.200000,19.400000
92,net2_search,10,65.700000,78.600000,38.000000
93,net2_search,10,76.100000,80.000000,35.500000
94,net2_search,10,61.100000,76.200000,24.700000
95,net2_search,10,81.800000,89.900000,45.700000
96,net2_search,10,78.800000,89.100000,40.600000
97,net2_search,10,56.200000,78.900000,16.100000
98,net2_search,10,71.800000,79.500000,37.300000
99,net2_search,10,84.100000,91.900000,42.300000
100,fedrn_stable,10,70.500000,83.000000,28.000000
101,fedrn_stable,10,65.600000,74.500000,42.600000
102,fedrn_stable,10,67.300000,81.400000,26.100000
103,fedrn_stable,10,57.900000,74.100000,23.500000
104,fedrn_stable,10,75.500000,88.000000,33.400000
105,fedrn_stable,10,68.100000,79.700000,29.700000
106,fedrn_stable,10,76.900000,86.600000,32.400000
107,fedrn_stable,10,69.500000,81.100000,23.000000
108,fedrn_stable,10,61.100000,77.000000,27.200000
109,fedrn_stable,10,67.200000,79.800000,47.600000
110,fedrn_stable,10,72.100000,86.200000,23.800000
111,fedrn_stable,10,80.100000,90.100000,28.400000
112,fedrn_stable,10,78.300000,83.700000,47.800000
113,fedrn_stable,10,70.000000,81.500000,47.500000
114,fedrn_stable,10,80.800000,87.300000,49.100000
115,fedrn_stable,10,64.500000,80.200000,58.800000
116,fedrn_stable,10,76.400000,82.600000,25.300000
117,fedrn_stable,10,77.500000,85.000000,51.100000
118,fedrn_stable,10,72.600000,79.200000,38.000000
119,fedrn_stable,10,69.100000,82.400000,23.900000
120,fedrn_stable,10,75.500000,86.900000,37.900000
121,fedrn_stable,10,69.500000,81.600000,37.100000
122,fedrn_stable,10,63.700000,75.500000,40.700000
123,fedrn_stable,10,78.600000,85.300000,39.100000
124,fedrn_stable,10,65.100000,78.100000,39.600000
125,fedrn_stable,10,61.800000,80.500000,25.700000
126,fedrn_stable,10,77.300000,86.900000,33.500000
