epoch,train_loss,global_train_acc,global_train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,clean_ratio,agreement_ratio,selected_total_count,global_train_count,train_ratio,pred_clean_count,pred_noisy_count,true_clean_count,true_noise_count,actual_train_clean_count,actual_train_clean_ratio,clean_recall,missed_clean_count,false_clean_count,true_noise_rejected_count,total_wrong_count,missed_clean_ratio,false_clean_ratio
49,1.242056,27.152000,2.041355,32.590000,1.897840,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3726,1274,3726,0.745200,1.000000,0,1274,0,1274,0.000000,1.000000
50,1.023702,25.308000,2.049752,29.890000,1.915182,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3956,1044,3956,0.791200,1.000000,0,1044,0,1044,0.000000,1.000000
51,1.170697,31.656000,1.998385,35.870000,1.883679,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3806,1194,3806,0.761200,1.000000,0,1194,0,1194,0.000000,1.000000
52,0.936140,30.964000,1.997261,35.220000,1.870608,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4068,932,4068,0.813600,1.000000,0,932,0,932,0.000000,1.000000
53,0.987910,29.928000,1.999907,35.650000,1.855942,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3976,1024,3976,0.795200,1.000000,0,1024,0,1024,0.000000,1.000000
54,1.107703,27.794000,2.029146,32.840000,1.882475,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3778,1222,3778,0.755600,1.000000,0,1222,0,1222,0.000000,1.000000
55,0.781367,27.588000,2.000775,33.710000,1.829127,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4268,732,4268,0.853600,1.000000,0,732,0,732,0.000000,1.000000
56,0.967739,31.580000,1.961890,33.210000,1.836743,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4060,940,4060,0.812000,1.000000,0,940,0,940,0.000000,1.000000
57,0.910199,31.976000,1.969849,38.970000,1.818785,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4138,862,4138,0.827600,1.000000,0,862,0,862,0.000000,1.000000
58,1.011469,33.170000,1.939953,38.720000,1.789905,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4024,976,4024,0.804800,1.000000,0,976,0,976,0.000000,1.000000
59,0.811661,28.516000,2.014324,32.560000,1.866100,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4310,690,4310,0.862000,1.000000,0,690,0,690,0.000000,1.000000
60,1.057003,32.966000,1.966759,37.620000,1.840933,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3960,1040,3960,0.792000,1.000000,0,1040,0,1040,0.000000,1.000000
61,0.851749,29.994000,1.980888,34.340000,1.822355,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4200,800,4200,0.840000,1.000000,0,800,0,800,0.000000,1.000000
62,1.011565,34.420000,1.932538,37.860000,1.815483,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3942,1058,3942,0.788400,1.000000,0,1058,0,1058,0.000000,1.000000
