epoch,train_loss,global_test_acc,global_test_loss,aux_apa,aux_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall
88,1.361677,28.050000,2.001714,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3096,3096,0,1904,1904,0.619200,1.000000
89,1.548829,30.230000,2.003660,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2840,2840,0,2160,2160,0.568000,1.000000
90,1.098103,32.180000,2.004067,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3548,3548,0,1452,1452,0.709600,1.000000
91,1.399470,29.910000,2.005102,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2784,2784,0,2216,2216,0.556800,1.000000
92,1.466232,25.110000,2.100200,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2812,2812,0,2188,2188,0.562400,1.000000
93,1.103666,29.940000,2.023932,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3648,3648,0,1352,1352,0.729600,1.000000
94,1.561433,28.690000,2.035194,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2692,2692,0,2308,2308,0.538400,1.000000
95,0.848690,29.630000,1.971311,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4060,4060,0,940,940,0.812000,1.000000
96,1.036005,31.570000,1.963304,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3888,3888,0,1112,1112,0.777600,1.000000
97,1.805362,32.350000,1.974882,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2108,2108,0,2892,2892,0.421600,1.000000
98,1.254314,28.430000,2.005745,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3424,3424,0,1576,1576,0.684800,1.000000
99,1.073666,30.810000,1.941009,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3648,3648,0,1352,1352,0.729600,1.000000
100,0.549976,35.860000,1.880389,0.000000,0.000000,0.599200,0.063200,0.662400,0.246800,1,2996,316,3312,5000,2915,3124,209,397,606,0.880133,0.933099
101,0.623650,35.760000,1.910240,0.000000,0.000000,0.536400,0.000000,0.536400,0.251400,0,2682,0,2682,5000,2149,2816,667,533,1200,0.801268,0.763139
102,0.451212,27.900000,2.059879,0.000000,0.000000,0.569800,0.035400,0.605200,0.357800,1,2849,177,3026,5000,2686,2908,222,340,562,0.887640,0.923659
103,0.717002,34.790000,2.004493,0.000000,0.000000,0.556200,0.000000,0.556200,0.243600,0,2781,0,2781,5000,2283,2344,61,498,559,0.820928,0.973976
104,0.848584,38.650000,1.828761,0.000000,0.000000,0.560400,0.114200,0.674600,0.216400,1,2802,571,3373,5000,2600,3028,428,773,1201,0.770827,0.858653
105,0.460739,33.590000,2.044848,0.000000,0.000000,0.666800,0.000000,0.666800,0.324200,0,3334,0,3334,5000,3070,3424,354,264,618,0.920816,0.896612
106,0.338238,37.900000,1.912006,0.000000,0.000000,0.620600,0.054200,0.674800,0.342400,1,3103,271,3374,5000,3279,3436,157,95,252,0.971844,0.954307
107,0.623531,34.450000,2.028061,0.000000,0.000000,0.663600,0.000000,0.663600,0.342400,0,3318,0,3318,5000,2806,3000,194,512,706,0.845690,0.935333
108,0.664246,38.630000,1.943190,0.000000,0.000000,0.515400,0.042800,0.558200,0.381800,1,2577,214,2791,5000,2321,2584,263,470,733,0.831602,0.898220
109,0.728906,42.490000,1.761574,0.000000,0.000000,0.562000,0.000000,0.562000,0.260600,0,2810,0,2810,5000,2201,2640,439,609,1048,0.783274,0.833712
110,0.412841,32.240000,1.938368,0.000000,0.000000,0.586400,0.051600,0.638000,0.331200,1,2932,258,3190,5000,2974,3232,258,216,474,0.932288,0.920173
111,0.211295,35.360000,2.006508,0.000000,0.000000,0.619800,0.000000,0.619800,0.343800,0,3099,0,3099,5000,3038,3588,550,61,611,0.980316,0.846711
112,0.409581,39.270000,1.774178,0.000000,0.000000,0.723000,0.041200,0.764200,0.305000,1,3615,206,3821,5000,3571,3720,149,250,399,0.934572,0.959946
113,0.637396,40.130000,1.764786,0.000000,0.000000,0.638400,0.000000,0.638400,0.273200,0,3192,0,3192,5000,2708,2908,200,484,684,0.848371,0.931224
114,0.276043,37.830000,1.715072,0.000000,0.000000,0.656800,0.073000,0.729800,0.283600,1,3284,365,3649,5000,3576,3728,152,73,225,0.979995,0.959227
115,0.624851,36.620000,1.790142,0.000000,0.000000,0.566200,0.000000,0.566200,0.349000,0,2831,0,2831,5000,2302,2628,326,529,855,0.813140,0.875951
116,0.468512,42.960000,1.643290,0.000000,0.000000,0.669600,0.029200,0.698800,0.293400,1,3348,146,3494,5000,3175,3232,57,319,376,0.908701,0.982364
117,0.341216,41.060000,1.629338,0.000000,0.000000,0.701800,0.000000,0.701800,0.379800,0,3509,0,3509,5000,3243,3484,241,266,507,0.924195,0.930827
118,0.552832,43.010000,1.646571,0.000000,0.000000,0.698800,0.053200,0.752000,0.329000,1,3494,266,3760,5000,3341,3416,75,419,494,0.888564,0.978044
119,0.608136,42.120000,1.624189,0.000000,0.000000,0.559800,0.000000,0.559800,0.284400,0,2799,0,2799,5000,2316,2640,324,483,807,0.827438,0.877273
120,0.506559,42.360000,1.601976,0.000000,0.000000,0.657200,0.048600,0.705800,0.255000,1,3286,243,3529,5000,3180,3256,76,349,425,0.901105,0.976658
121,0.463780,40.330000,1.633268,0.000000,0.000000,0.608800,0.000000,0.608800,0.373000,0,3044,0,3044,5000,2789,3000,211,255,466,0.916229,0.929667
122,0.782224,39.480000,1.689102,0.000000,0.000000,0.620800,0.056400,0.677200,0.346800,1,3104,282,3386,5000,2725,2824,99,661,760,0.804784,0.964943
123,0.424703,42.710000,1.551803,0.000000,0.000000,0.738200,0.000000,0.738200,0.305800,0,3691,0,3691,5000,3479,3700,221,212,433,0.942563,0.940270
124,0.799526,46.150000,1.468459,0.000000,0.000000,0.661200,0.031600,0.692800,0.251400,1,3306,158,3464,5000,2672,2716,44,792,836,0.771363,0.983800
125,0.740204,47.260000,1.459113,0.000000,0.000000,0.556200,0.000000,0.556200,0.345600,0,2781,0,2781,5000,2207,2312,105,574,679,0.793599,0.954585
126,0.491149,40.470000,1.627090,0.000000,0.000000,0.705800,0.028400,0.734200,0.432000,1,3529,142,3671,5000,3345,3400,55,326,381,0.911196,0.983824
127,0.625633,44.350000,1.545530,0.000000,0.000000,0.669800,0.000000,0.669800,0.316400,0,3349,0,3349,5000,2833,2932,99,516,615,0.845924,0.966235
128,0.352731,46.110000,1.547800,0.000000,0.000000,0.677200,0.028000,0.705200,0.421800,1,3386,140,3526,5000,3311,3360,49,215,264,0.939024,0.985417
129,0.571190,36.190000,1.771944,0.000000,0.000000,0.671200,0.000000,0.671200,0.412200,0,3356,0,3356,5000,2886,2968,82,470,552,0.859952,0.972372
130,0.694041,42.310000,1.643010,0.000000,0.000000,0.676400,0.021600,0.698000,0.381800,1,3382,108,3490,5000,2879,2932,53,611,664,0.824928,0.981924
131,0.523204,41.240000,1.682271,0.000000,0.000000,0.670400,0.000000,0.670400,0.409000,0,3352,0,3352,5000,2891,3012,121,461,582,0.862470,0.959827
132,0.499165,45.600000,1.524943,0.000000,0.000000,0.592800,0.023200,0.616000,0.369800,1,2964,116,3080,5000,2744,2764,20,336,356,0.890909,0.992764
133,0.726443,44.640000,1.546715,0.000000,0.000000,0.666600,0.000000,0.666600,0.343400,0,3333,0,3333,5000,2687,2772,85,646,731,0.806181,0.969336
134,0.871111,43.940000,1.627535,0.000000,0.000000,0.572200,0.035400,0.607600,0.346200,1,2861,177,3038,5000,2118,2140,22,920,942,0.697169,0.989720
135,0.428933,44.750000,1.624094,0.000000,0.000000,0.642000,0.000000,0.642000,0.345200,0,3210,0,3210,5000,2932,3060,128,278,406,0.913396,0.958170
136,0.602500,43.600000,1.592261,0.000000,0.000000,0.592200,0.029200,0.621400,0.366600,1,2961,146,3107,5000,2563,2588,25,544,569,0.824911,0.990340
137,0.624652,44.950000,1.550153,0.000000,0.000000,0.603200,0.000000,0.603200,0.375800,0,3016,0,3016,5000,2468,2604,136,548,684,0.818302,0.947773
138,0.693896,38.980000,1.644120,0.000000,0.000000,0.663400,0.026000,0.689400,0.404600,1,3317,130,3447,5000,2768,2808,40,679,719,0.803017,0.985755
139,0.719707,40.800000,1.582265,0.000000,0.000000,0.704800,0.000000,0.704800,0.407000,0,3524,0,3524,5000,2714,2840,126,810,936,0.770148,0.955634
140,0.594569,44.530000,1.519174,0.000000,0.000000,0.710800,0.022800,0.733600,0.272400,1,3554,114,3668,5000,3196,3236,40,472,512,0.871320,0.987639
141,0.745071,47.380000,1.475562,0.000000,0.000000,0.628800,0.000000,0.628800,0.402000,0,3144,0,3144,5000,2438,2512,74,706,780,0.775445,0.970541
142,0.356498,45.540000,1.523143,0.000000,0.000000,0.690200,0.032000,0.722200,0.380600,1,3451,160,3611,5000,3439,3492,53,172,225,0.952368,0.984822
143,0.560032,40.160000,1.653080,0.000000,0.000000,0.585000,0.000000,0.585000,0.403200,0,2925,0,2925,5000,2430,2516,86,495,581,0.830769,0.965819
144,0.675245,43.870000,1.515922,0.000000,0.000000,0.597200,0.019400,0.616600,0.422600,1,2986,97,3083,5000,2587,2628,41,496,537,0.839118,0.984399
