epoch,train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall,recover_true_clean_count,recover_false_clean_count,recover_precision
39,1.562024,36.810000,1.972780,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14032,14032,0,10968,10968,0.561280,1.000000,0,0,0.000000
40,1.414836,37.920000,1.951074,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15744,15744,0,9256,9256,0.629760,1.000000,0,0,0.000000
41,1.474602,36.230000,1.963132,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14796,14796,0,10204,10204,0.591840,1.000000,0,0,0.000000
42,1.575319,35.430000,1.981797,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,13920,13920,0,11080,11080,0.556800,1.000000,0,0,0.000000
43,1.483585,34.520000,1.983926,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14724,14724,0,10276,10276,0.588960,1.000000,0,0,0.000000
44,1.491904,35.800000,1.973837,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14936,14936,0,10064,10064,0.597440,1.000000,0,0,0.000000
45,1.440303,37.130000,1.955398,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15328,15328,0,9672,9672,0.613120,1.000000,0,0,0.000000
46,1.474450,37.650000,1.952303,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14492,14492,0,10508,10508,0.579680,1.000000,0,0,0.000000
47,1.523454,35.840000,1.972980,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14192,14192,0,10808,10808,0.567680,1.000000,0,0,0.000000
48,1.437658,34.760000,1.959314,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15324,15324,0,9676,9676,0.612960,1.000000,0,0,0.000000
49,1.529945,35.220000,1.986427,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14212,14212,0,10788,10788,0.568480,1.000000,0,0,0.000000
50,1.395314,35.230000,1.970106,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15492,15492,0,9508,9508,0.619680,1.000000,0,0,0.000000
51,1.422549,34.930000,1.956796,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15336,15336,0,9664,9664,0.613440,1.000000,0,0,0.000000
52,1.497721,35.520000,1.959518,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14392,14392,0,10608,10608,0.575680,1.000000,0,0,0.000000
53,1.427398,35.800000,1.958108,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14952,14952,0,10048,10048,0.598080,1.000000,0,0,0.000000
54,1.399602,35.860000,1.958893,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15496,15496,0,9504,9504,0.619840,1.000000,0,0,0.000000
55,1.418083,37.760000,1.943626,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15264,15264,0,9736,9736,0.610560,1.000000,0,0,0.000000
56,1.538811,36.950000,1.943623,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,13876,13876,0,11124,11124,0.555040,1.000000,0,0,0.000000
57,1.453828,35.160000,1.965715,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14744,14744,0,10256,10256,0.589760,1.000000,0,0,0.000000
58,1.442688,35.920000,1.955630,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15160,15160,0,9840,9840,0.606400,1.000000,0,0,0.000000
59,1.433406,33.060000,1.969760,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15052,15052,0,9948,9948,0.602080,1.000000,0,0,0.000000
60,1.490870,33.950000,1.975248,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14616,14616,0,10384,10384,0.584640,1.000000,0,0,0.000000
61,1.343203,35.570000,1.943321,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15940,15940,0,9060,9060,0.637600,1.000000,0,0,0.000000
62,1.401001,36.000000,1.940890,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15280,15280,0,9720,9720,0.611200,1.000000,0,0,0.000000
63,1.390018,35.010000,1.948540,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15544,15544,0,9456,9456,0.621760,1.000000,0,0,0.000000
64,1.374322,36.930000,1.938626,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15700,15700,0,9300,9300,0.628000,1.000000,0,0,0.000000
65,1.440268,37.000000,1.936476,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14820,14820,0,10180,10180,0.592800,1.000000,0,0,0.000000
66,1.457562,37.130000,1.936200,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14660,14660,0,10340,10340,0.586400,1.000000,0,0,0.000000
67,1.476659,34.150000,1.958424,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14476,14476,0,10524,10524,0.579040,1.000000,0,0,0.000000
68,1.384661,37.550000,1.930690,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15316,15316,0,9684,9684,0.612640,1.000000,0,0,0.000000
69,1.518064,34.400000,1.968838,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14028,14028,0,10972,10972,0.561120,1.000000,0,0,0.000000
70,1.454259,35.100000,1.956174,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14556,14556,0,10444,10444,0.582240,1.000000,0,0,0.000000
71,1.430339,36.660000,1.945188,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14796,14796,0,10204,10204,0.591840,1.000000,0,0,0.000000
72,1.367675,37.290000,1.927178,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15448,15448,0,9552,9552,0.617920,1.000000,0,0,0.000000
73,1.313538,34.700000,1.936093,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,16132,16132,0,8868,8868,0.645280,1.000000,0,0,0.000000
74,1.391756,33.850000,1.948661,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15008,15008,0,9992,9992,0.600320,1.000000,0,0,0.000000
75,1.352670,36.180000,1.931522,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15592,15592,0,9408,9408,0.623680,1.000000,0,0,0.000000
76,1.447845,35.140000,1.943326,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14772,14772,0,10228,10228,0.590880,1.000000,0,0,0.000000
77,1.330548,34.310000,1.934813,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15928,15928,0,9072,9072,0.637120,1.000000,0,0,0.000000
78,1.392985,36.230000,1.924297,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15068,15068,0,9932,9932,0.602720,1.000000,0,0,0.000000
79,1.384321,32.830000,1.945797,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15644,15644,0,9356,9356,0.625760,1.000000,0,0,0.000000
80,1.446341,33.650000,1.954700,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14560,14560,0,10440,10440,0.582400,1.000000,0,0,0.000000
81,1.362801,33.610000,1.951304,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15372,15372,0,9628,9628,0.614880,1.000000,0,0,0.000000
82,1.400437,34.380000,1.944787,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15220,15220,0,9780,9780,0.608800,1.000000,0,0,0.000000
83,1.414757,34.470000,1.943898,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14560,14560,0,10440,10440,0.582400,1.000000,0,0,0.000000
84,1.441491,34.550000,1.943520,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14672,14672,0,10328,10328,0.586880,1.000000,0,0,0.000000
85,1.358860,33.070000,1.948770,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15280,15280,0,9720,9720,0.611200,1.000000,0,0,0.000000
86,1.457069,32.050000,1.968663,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14536,14536,0,10464,10464,0.581440,1.000000,0,0,0.000000
87,1.306495,34.300000,1.930157,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15912,15912,0,9088,9088,0.636480,1.000000,0,0,0.000000
88,1.433210,33.120000,1.959586,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14680,14680,0,10320,10320,0.587200,1.000000,0,0,0.000000
89,1.376050,35.020000,1.935150,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15192,15192,0,9808,9808,0.607680,1.000000,0,0,0.000000
90,1.329103,34.490000,1.944052,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15668,15668,0,9332,9332,0.626720,1.000000,0,0,0.000000
91,1.362614,33.730000,1.950260,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15144,15144,0,9856,9856,0.605760,1.000000,0,0,0.000000
92,1.476362,32.260000,1.972799,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,13992,13992,0,11008,11008,0.559680,1.000000,0,0,0.000000
93,1.284343,33.990000,1.945389,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15912,15912,0,9088,9088,0.636480,1.000000,0,0,0.000000
94,1.456937,33.800000,1.946634,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14112,14112,0,10888,10888,0.564480,1.000000,0,0,0.000000
95,1.263514,34.270000,1.930873,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,16224,16224,0,8776,8776,0.648960,1.000000,0,0,0.000000
96,1.397226,35.570000,1.922604,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14520,14520,0,10480,10480,0.580800,1.000000,0,0,0.000000
97,1.464153,32.920000,1.953888,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,13948,13948,0,11052,11052,0.557920,1.000000,0,0,0.000000
98,1.359303,32.700000,1.951233,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15268,15268,0,9732,9732,0.610720,1.000000,0,0,0.000000
99,1.401408,33.070000,1.960768,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14816,14816,0,10184,10184,0.592640,1.000000,0,0,0.000000
100,0.430220,38.950000,1.834351,0.000000,0.000000,0.620760,0.000000,0.620760,0.094600,1,15519,0,15519,25000,14346,15516,1170,1173,2343,0.924415,0.924594,0,0,0.000000
101,0.523353,36.910000,1.820122,0.000000,0.000000,0.591480,0.000000,0.591480,0.090680,1,14787,0,14787,25000,13084,15264,2180,1703,3883,0.884831,0.857180,0,0,0.000000
102,0.548778,39.780000,1.770508,0.000000,0.000000,0.588040,0.000000,0.588040,0.089760,1,14701,0,14701,25000,12580,14440,1860,2121,3981,0.855724,0.871191,0,0,0.000000
103,0.493205,42.070000,1.750309,0.000000,0.000000,0.594000,0.000000,0.594000,0.101960,1,14850,0,14850,25000,13168,15528,2360,1682,4042,0.886734,0.848016,0,0,0.000000
