epoch,train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall,recover_true_clean_count,recover_false_clean_count,recover_precision
39,1.492004,27.920000,2.064475,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3172,3172,0,1828,1828,0.634400,1.000000,0,0,0.000000
40,1.380497,27.730000,2.021595,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3196,3196,0,1804,1804,0.639200,1.000000,0,0,0.000000
41,1.438417,26.610000,2.020269,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3036,3036,0,1964,1964,0.607200,1.000000,0,0,0.000000
42,1.467102,31.940000,2.011196,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3112,3112,0,1888,1888,0.622400,1.000000,0,0,0.000000
43,1.394991,29.520000,2.006600,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3152,3152,0,1848,1848,0.630400,1.000000,0,0,0.000000
44,1.535180,32.540000,1.989344,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2976,2976,0,2024,2024,0.595200,1.000000,0,0,0.000000
45,1.392553,29.130000,1.988763,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3204,3204,0,1796,1796,0.640800,1.000000,0,0,0.000000
46,1.468583,28.030000,2.001428,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2872,2872,0,2128,2128,0.574400,1.000000,0,0,0.000000
47,1.273879,30.520000,1.990256,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3396,3396,0,1604,1604,0.679200,1.000000,0,0,0.000000
48,1.506502,29.750000,1.998473,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2756,2756,0,2244,2244,0.551200,1.000000,0,0,0.000000
