epoch,train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,core_count,recover_count,new_recover_count,recover_pool_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall,recover_true_clean_count,recover_false_clean_count,recover_precision,new_recover_true_clean_count,new_recover_false_clean_count,new_recover_precision,recover_pool_true_clean_count,recover_pool_false_clean_count,recover_pool_precision
51,1.422023,34.780000,1.957471,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15336,15336,0,9664,9664,0.613440,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
52,1.498161,35.860000,1.958678,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,14392,14392,0,10608,10608,0.575680,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
53,1.425684,34.660000,1.967201,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,14952,14952,0,10048,10048,0.598080,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
54,1.401141,35.000000,1.963654,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15496,15496,0,9504,9504,0.619840,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
55,1.419862,37.400000,1.945992,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15264,15264,0,9736,9736,0.610560,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
56,1.540466,37.660000,1.945906,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,13876,13876,0,11124,11124,0.555040,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
57,1.453619,35.050000,1.969103,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,14744,14744,0,10256,10256,0.589760,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
58,1.444866,35.870000,1.963384,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15160,15160,0,9840,9840,0.606400,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
59,1.434773,33.840000,1.972662,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15052,15052,0,9948,9948,0.602080,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
60,1.491072,33.360000,1.986348,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,14616,14616,0,10384,10384,0.584640,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
61,1.343126,35.250000,1.945561,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15940,15940,0,9060,9060,0.637600,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
62,1.403426,35.620000,1.948252,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15280,15280,0,9720,9720,0.611200,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
63,1.390975,35.330000,1.956749,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15544,15544,0,9456,9456,0.621760,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
64,1.378651,37.400000,1.936366,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15700,15700,0,9300,9300,0.628000,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
