epoch,train_loss,selected_clients,selected_train_label_correct,local_train_acc_noisy,local_train_acc_true,local_train_loss_noisy,hc_cov_0.80,hc_acc_true_0.80,disagree_count_0.80,disagree_corr_acc_0.80,agree_count_0.80,agree_label_precision_0.80,local_holdout_acc,local_holdout_loss
70,0.065114,50,0.583200,99.267500,60.625000,0.057065,0.942950,62.444986,32,62.500000,37686,0.624449,62.460000,1.476445
71,0.064195,50,0.592850,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
72,0.050641,50,0.618900,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
73,0.050428,50,0.646250,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
74,0.057576,50,0.601400,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
75,0.050205,50,0.624700,99.415000,60.587500,0.048166,0.953925,62.093456,27,44.444444,38130,0.621060,62.640000,1.492289
76,0.050225,50,0.591850,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
77,0.043029,50,0.638050,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
78,0.043735,50,0.603700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
79,0.044885,50,0.626700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
80,0.040368,50,0.583400,99.620000,60.545000,0.038968,0.965650,61.593227,21,66.666667,38605,0.615905,62.430000,1.521334
81,0.040940,50,0.615900,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
82,0.037618,50,0.609900,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
83,0.037708,50,0.583400,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
84,0.034389,50,0.587750,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
85,0.034698,50,0.612200,99.677500,60.517500,0.033492,0.972075,61.402155,16,43.750000,38867,0.614094,62.630000,1.551455
86,0.035730,50,0.582450,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
87,0.033912,50,0.637350,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
88,0.033942,50,0.588300,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
89,0.032278,50,0.608600,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
90,0.028815,50,0.627600,99.737500,60.470000,0.028356,0.977600,61.221358,12,33.333333,39092,0.612299,62.390000,1.564398
91,0.030120,50,0.606700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
92,0.031801,50,0.560700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
93,0.026480,50,0.637550,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
94,0.029349,50,0.565400,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
95,0.024124,50,0.650000,99.825000,60.490000,0.023681,0.983025,61.000483,9,44.444444,39312,0.610043,62.270000,1.586815
96,0.025478,50,0.581750,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
97,0.026440,50,0.559000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
98,0.023219,50,0.611750,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
99,0.022122,50,0.593700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
100,0.021409,50,0.621600,99.862500,60.492500,0.020072,0.986850,60.893246,8,25.000000,39466,0.609005,62.740000,1.589167
101,0.021286,50,0.619050,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
102,0.021422,50,0.605500,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
103,0.021165,50,0.601800,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
