epoch,train_loss,selected_clients,selected_train_label_correct,local_train_acc_noisy,local_train_acc_true,local_train_loss_noisy,hc_cov_0.80,hc_acc_true_0.80,disagree_count_0.80,disagree_corr_acc_0.80,agree_count_0.80,agree_label_precision_0.80,local_holdout_acc,local_holdout_loss
73,0.551279,50,0.823600,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
74,0.594883,50,0.801300,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
75,0.572921,50,0.812900,78.210000,87.220000,0.629165,0.517000,98.051257,1300,78.538462,19380,0.993602,84.440000,0.517617
76,0.621161,50,0.796400,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
77,0.551770,50,0.819500,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
78,0.583469,50,0.802450,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
79,0.570584,50,0.813850,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
80,0.608808,50,0.792300,78.875000,87.117500,0.607948,0.525175,98.062551,1257,78.202068,19750,0.993266,83.740000,0.521155
81,0.561824,50,0.808400,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
82,0.569609,50,0.805350,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
83,0.592306,50,0.792200,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
84,0.593976,50,0.794350,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
85,0.557668,50,0.806600,79.417500,86.537500,0.590562,0.531975,97.927534,1222,78.641571,20057,0.991026,84.670000,0.514758
86,0.589196,50,0.791700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
87,0.515099,50,0.819250,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
88,0.574794,50,0.794700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
89,0.538630,50,0.804850,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
90,0.516915,50,0.814300,79.792500,86.610000,0.573074,0.542425,97.930589,1226,78.466558,20471,0.990963,83.860000,0.517430
91,0.542794,50,0.803800,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
92,0.576058,50,0.780750,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
93,0.482847,50,0.819250,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
94,0.574086,50,0.783300,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
95,0.474334,50,0.825500,80.512500,85.962500,0.554699,0.544975,97.527410,1127,76.131322,20672,0.986939,83.560000,0.524037
96,0.551019,50,0.791400,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
97,0.561297,50,0.780100,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
98,0.511973,50,0.806500,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
99,0.528229,50,0.797250,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
100,0.480647,50,0.811300,80.887500,85.910000,0.539054,0.560225,97.264492,1178,74.448217,21231,0.985305,83.050000,0.525201
101,0.501169,50,0.810000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
102,0.519201,50,0.803250,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
103,0.503380,50,0.801500,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
104,0.518786,50,0.793850,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
105,0.469517,50,0.812350,81.140000,85.150000,0.528951,0.566925,97.221855,1205,76.431535,21472,0.983886,82.820000,0.531306
106,0.473124,50,0.810950,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
107,0.506911,50,0.793050,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
108,0.496376,50,0.799950,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
109,0.483167,50,0.802500,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
110,0.491953,50,0.795100,81.787500,84.980000,0.511494,0.574775,96.933583,1166,73.842196,21825,0.981672,83.060000,0.535226
111,0.510265,50,0.791150,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
112,0.460466,50,0.808150,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
113,0.521485,50,0.779150,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
114,0.469746,50,0.802650,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
115,0.449394,50,0.812050,81.920000,84.880000,0.503437,0.583525,96.568270,1137,72.735268,22204,0.977887,82.840000,0.531839
116,0.521026,50,0.774600,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
117,0.461925,50,0.801700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
118,0.484542,50,0.791050,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
119,0.436957,50,0.810300,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
120,0.474655,50,0.793100,82.317500,84.670000,0.488516,0.588400,96.617947,1116,75.268817,22420,0.976806,82.230000,0.535157
121,0.437184,50,0.808250,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
122,0.426370,50,0.815650,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
123,0.446202,50,0.808450,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
124,0.482659,50,0.780800,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
125,0.460665,50,0.791950,83.005000,84.617500,0.473674,0.599025,96.419181,1063,75.164628,22898,0.974059,81.960000,0.539510
126,0.448915,50,0.795750,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
127,0.460128,50,0.790900,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
128,0.434528,50,0.805800,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
129,0.445246,50,0.795450,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
130,0.451551,50,0.788750,83.562500,84.225000,0.463094,0.606425,95.980542,1083,73.961219,23174,0.970096,82.020000,0.541423
131,0.454246,50,0.790550,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
132,0.413687,50,0.804950,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
133,0.443630,50,0.795550,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
134,0.438774,50,0.795200,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
135,0.426379,50,0.798350,83.750000,83.850000,0.451829,0.613825,95.695027,1074,71.601490,23479,0.967971,81.910000,0.541393
136,0.421183,50,0.799950,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
137,0.403859,50,0.807300,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
138,0.428218,50,0.797450,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
139,0.408815,50,0.800250,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
140,0.415959,50,0.798500,84.265000,83.782500,0.440494,0.618625,95.498080,1080,71.018519,23665,0.966153,81.250000,0.551992
141,0.397683,50,0.808850,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
142,0.441125,50,0.783550,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
143,0.404674,50,0.792700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
144,0.399641,50,0.809550,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
145,0.388441,50,0.810200,84.530000,83.407500,0.432232,0.622650,95.258171,1032,71.317829,23874,0.962930,81.200000,0.554757
146,0.390081,50,0.811400,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
147,0.422681,50,0.786250,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
148,0.398551,50,0.801350,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
149,0.380981,50,0.813100,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
150,0.391958,50,0.802250,84.740000,83.535000,0.426225,0.633025,94.925161,1075,68.744186,24246,0.960860,81.300000,0.554130
151,0.398095,50,0.796250,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
152,0.379088,50,0.812350,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
153,0.360861,50,0.819050,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
154,0.381761,50,0.802600,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
155,0.353146,50,0.819800,85.325000,83.172500,0.414311,0.632675,94.705022,973,69.270298,24334,0.957220,80.900000,0.563817
156,0.415285,50,0.779900,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
157,0.381960,50,0.804850,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
158,0.375251,50,0.801100,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
159,0.361758,50,0.808100,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
160,0.362837,50,0.809400,85.532500,82.965000,0.403160,0.646675,94.367341,1046,68.642447,24821,0.954514,81.130000,0.558375
161,0.397697,50,0.784850,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
162,0.377851,50,0.798350,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
163,0.370254,50,0.799100,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
164,0.364968,50,0.799150,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
165,0.375563,50,0.798200,85.857500,82.942500,0.397441,0.648675,94.272941,1026,69.785575,24921,0.952811,80.750000,0.565710
166,0.385379,50,0.785650,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
167,0.359541,50,0.799200,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
168,0.328922,50,0.818950,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
169,0.362626,50,0.802600,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
170,0.334921,50,0.816950,86.125000,82.797500,0.388923,0.654825,93.922040,998,67.935872,25195,0.949514,80.510000,0.567649
171,0.373658,50,0.793150,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
172,0.368368,50,0.798450,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
173,0.359925,50,0.796600,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
174,0.308732,50,0.824050,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
175,0.319616,50,0.822750,86.327500,82.535000,0.381927,0.659650,93.689836,946,66.173362,25440,0.947131,80.680000,0.565547
176,0.331736,50,0.809400,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
177,0.312183,50,0.825650,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
178,0.329776,50,0.812450,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
179,0.361164,50,0.793100,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
180,0.323957,50,0.809800,86.795000,82.627500,0.372427,0.667050,93.310097,925,67.351351,25757,0.942423,81.080000,0.562160
181,0.332262,50,0.801400,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
182,0.334738,50,0.804700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
183,0.330076,50,0.804550,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
184,0.349184,50,0.801000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
185,0.340362,50,0.800700,87.140000,82.292500,0.363314,0.670775,92.900004,931,66.380236,25900,0.938533,80.420000,0.569020
186,0.317171,50,0.811550,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
187,0.329974,50,0.802050,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
188,0.338565,50,0.793600,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
189,0.297987,50,0.823050,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
190,0.317242,50,0.811000,87.237500,82.247500,0.358687,0.675575,92.813529,895,67.709497,26128,0.936735,80.050000,0.583119
191,0.343663,50,0.794400,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
