epoch,train_loss,personal_acc,personal_loss,selected_clients,avg_unique_labels_per_client,selected_train_label_correct
166,0.542998,14.491600,4.288389,10,1.900000,0.552000
167,0.529610,14.480800,4.298798,10,1.900000,0.582400
168,0.546482,14.449000,4.310988,10,1.900000,0.643200
169,0.522090,14.436000,4.320776,10,1.900000,0.564800
170,0.417638,14.428800,4.336016,10,1.900000,0.561600
171,0.496984,14.462900,4.352584,10,1.900000,0.612000
172,0.464257,14.518800,4.365184,10,1.900000,0.628000
173,0.439658,14.531100,4.379908,10,1.900000,0.616800
174,0.401588,14.528700,4.384176,10,1.900000,0.650400
175,0.341059,14.527600,4.401221,10,1.900000,0.585600
176,0.222196,14.503900,4.412345,10,1.900000,0.742400
177,0.534846,14.459000,4.424038,10,1.900000,0.552000
178,0.376271,14.472800,4.438148,10,1.900000,0.706400
179,0.371200,14.450600,4.445962,10,1.900000,0.556800
180,0.337765,14.425700,4.460703,10,1.900000,0.675200
181,0.329711,14.452000,4.477403,10,1.900000,0.646400
182,0.340972,14.409900,4.490496,10,1.900000,0.651200
183,0.407073,14.397700,4.505368,10,1.900000,0.567200
184,0.458835,14.377800,4.524175,10,1.900000,0.581600
185,0.420267,14.393200,4.540429,10,1.900000,0.556800
186,0.432028,14.395700,4.544864,10,1.900000,0.621600
187,0.432494,14.396100,4.559461,10,1.900000,0.635200
188,0.565428,14.309700,4.576548,10,1.900000,0.423200
189,0.546597,14.357700,4.581225,10,1.900000,0.512800
190,0.249513,14.362300,4.579119,10,1.900000,0.789600
191,0.395438,14.375500,4.581076,10,1.900000,0.619200
192,0.298593,14.367200,4.591963,10,1.900000,0.648800
193,0.363968,14.396400,4.596152,10,1.900000,0.618400
194,0.484916,14.423100,4.602938,10,1.900000,0.547200
195,0.357287,14.410700,4.609036,10,1.900000,0.612000
196,0.329610,14.385600,4.621357,10,1.900000,0.673600
197,0.263517,14.425600,4.631611,10,1.900000,0.632000
198,0.359406,14.461300,4.638252,10,1.900000,0.608800
199,0.358490,14.430000,4.644689,10,1.900000,0.595200
