Experiment Start: 20260616-230210
Args: Namespace(method='default', epochs=500, num_users=100, frac=0.1, local_ep=5, local_bs=50, bs=128, lr=0.01, momentum=0.5, split='user', schedule=[], lr_decay=0.1, weight_decay=0, partition='shard', dd_alpha=0.5, num_shards=200, fed_method='fedavg', model='cnn4conv', dataset='cifar10', iid=False, num_classes=10, num_channels=3, gpu=0, verbose=False, seed=1, all_clients=False, num_workers=4, noise_type_lst=['symmetric'], noise_group_num=[100], group_noise_rate=[0.4], warmup_epochs=100, queue_size=15, forget_rate=0.2, uncertainty_threshold=0.05, alpha=1.2, beta=0.8, labeling='soft', mm_alpha=4, lambda_u=25, T=0.5, p_threshold=0.5, num_neighbors=2, w_alpha=0.5, device=device(type='cuda', index=0), send_2_models=False)
================================================================================

round,train_acc,train_loss,test_acc,test_loss,local_update_loss,time_sec
96,21.790000,2.199814,26.240000,2.102152,1.511255,661.84
97,20.484000,2.205978,24.580000,2.121535,1.503209,668.56
98,21.528000,2.172596,25.400000,2.068246,1.524816,675.63
99,21.100000,2.187393,25.290000,2.083628,1.477458,682.32
100,22.210000,2.167330,25.520000,2.070830,1.507019,689.47
101,21.232000,2.186095,25.680000,2.083254,1.506946,696.08
102,22.442000,2.162119,27.460000,2.041740,1.527592,703.12
103,21.854000,2.161998,26.190000,2.051584,1.500389,709.80
104,23.434000,2.166039,29.030000,2.043104,1.494249,716.84
105,21.698000,2.197164,27.130000,2.085725,1.519348,723.60
106,22.152000,2.166861,25.790000,2.066815,1.505491,730.20
107,21.406000,2.177836,26.150000,2.074285,1.469956,737.33
108,21.976000,2.192571,26.410000,2.106347,1.458136,743.99
109,21.688000,2.156229,25.380000,2.049561,1.493210,751.05
110,21.982000,2.165025,26.210000,2.074382,1.505073,757.80
111,21.852000,2.210949,25.820000,2.131798,1.488215,764.92
112,21.546000,2.191730,26.640000,2.084957,1.492742,771.65
113,21.734000,2.174564,24.500000,2.081578,1.476006,778.72
114,20.596000,2.188670,24.380000,2.103590,1.461422,785.38
115,21.030000,2.199698,23.680000,2.133951,1.484811,792.60
116,22.788000,2.180033,26.860000,2.083762,1.508578,799.34
117,21.362000,2.180801,26.620000,2.061616,1.484880,806.05
118,22.034000,2.164731,25.710000,2.055786,1.480799,813.19
119,23.234000,2.150911,28.260000,2.002401,1.443028,819.85
120,23.030000,2.143652,27.570000,2.012914,1.485767,827.03
121,20.108000,2.225028,23.220000,2.151001,1.479063,833.74
122,20.706000,2.181903,23.120000,2.083436,1.454721,840.85
123,21.926000,2.162302,26.010000,2.050745,1.486517,847.54
124,21.830000,2.159805,27.590000,2.037581,1.509644,854.65
125,22.980000,2.155397,27.070000,2.051286,1.482849,861.33
126,22.306000,2.173619,26.280000,2.071034,1.450430,868.40
127,21.234000,2.179060,25.760000,2.047316,1.458559,874.99
128,23.342000,2.157308,28.800000,2.036949,1.478900,882.18
129,22.510000,2.179839,28.540000,2.045871,1.457213,888.93
130,22.268000,2.171891,26.930000,2.050421,1.515328,895.60
131,21.802000,2.173479,25.350000,2.087530,1.484718,902.78
132,23.516000,2.152662,27.090000,2.046172,1.450470,909.43
133,22.486000,2.158316,26.340000,2.068972,1.461973,916.61
134,23.220000,2.162133,28.110000,2.057884,1.479953,923.30
135,22.206000,2.178562,25.820000,2.083099,1.447371,930.54
136,21.268000,2.197219,23.990000,2.127791,1.467432,937.91
137,21.832000,2.194366,24.890000,2.128424,1.443246,944.75
138,21.808000,2.182870,26.030000,2.095468,1.469012,951.65
139,20.918000,2.193164,22.820000,2.121268,1.466071,958.43
140,19.826000,2.222266,22.670000,2.147635,1.467670,965.15
141,21.778000,2.182547,26.060000,2.083534,1.484956,971.93
142,21.538000,2.175750,25.060000,2.080933,1.449293,978.68
143,22.532000,2.175881,27.350000,2.047634,1.459118,985.50
144,23.354000,2.144765,27.070000,2.034879,1.469302,992.24
145,23.828000,2.129578,27.980000,2.004585,1.435409,999.10
146,22.392000,2.162176,25.430000,2.061126,1.433049,1005.82
147,21.630000,2.184502,24.440000,2.096235,1.454433,1012.52
148,21.618000,2.161652,24.770000,2.065174,1.449314,1019.26
149,20.616000,2.238877,24.170000,2.155314,1.477982,1025.94
150,21.238000,2.195895,23.300000,2.139081,1.462160,1032.62
151,22.082000,2.177459,24.050000,2.100531,1.419257,1039.33
