Experiment Start: 20260519-142714
Args: Namespace(T=0.5, all_clients=False, alpha=1.2, beta=0.8, bs=128, dataset='cifar10', dd_alpha=0.5, device=device(type='cuda', index=0), epochs=200, fed_method='fedavg', forget_rate=0.2, frac=0.1, gpu=0, group_noise_rate=[0.0, 0.4], iid=False, labeling='soft', lambda_u=25, local_bs=50, local_ep=5, lr=0.01, lr_decay=0.1, method='fedrn', mm_alpha=4, model='cnn4conv', momentum=0.5, noise_group_num=[100], noise_type_lst=['symmetric'], num_channels=3, num_classes=10, num_neighbors=2, num_shards=200, num_users=100, num_workers=0, p_threshold=0.5, partition='shard', queue_size=15, schedule=[], seed=1, send_2_models=False, split='user', uncertainty_threshold=0.05, verbose=False, w_alpha=0.6, warmup_epochs=100, weight_decay=0)
================================================================================

round,train_acc,train_loss,test_acc,test_loss,local_update_loss,time_sec
36,24.858000,2.101757,32.350000,1.900885,0.897877,1170.77
37,29.426000,1.973680,38.860000,1.767905,0.989250,1201.77
38,33.104000,1.966082,39.590000,1.790514,1.298417,1232.56
39,29.076000,1.979991,37.250000,1.805412,1.036936,1263.97
40,26.502000,2.009686,31.150000,1.850076,0.979402,1295.86
41,29.056000,2.018627,34.730000,1.858415,1.012713,1327.19
42,34.364000,1.948540,40.630000,1.805272,0.992678,1358.02
43,28.736000,2.004607,37.820000,1.815264,0.968492,1389.09
44,31.796000,1.946544,39.930000,1.763326,1.064489,1419.97
45,30.192000,1.985915,36.670000,1.818286,0.963767,1450.95
46,27.088000,2.029860,32.430000,1.867729,1.015981,1482.19
47,31.252000,1.978505,35.720000,1.813925,0.904666,1513.19
48,30.388000,1.974167,37.200000,1.805761,1.040074,1544.01
49,27.402000,2.049648,34.560000,1.892632,1.243861,1575.27
50,26.966000,2.030447,30.460000,1.908977,1.017671,1606.30
51,32.410000,1.983112,34.650000,1.876293,1.166485,1637.16
52,31.636000,1.967512,35.040000,1.849102,0.925892,1668.02
53,32.496000,1.980762,39.880000,1.841118,0.987729,1699.06
54,25.094000,2.064830,29.980000,1.942714,1.106590,1730.01
55,28.964000,1.980454,34.600000,1.823050,0.781338,1760.90
56,30.220000,1.965666,31.710000,1.849452,0.959477,1791.76
57,30.734000,1.956754,39.490000,1.799588,0.911666,1822.89
58,33.004000,1.934286,39.010000,1.782740,1.028423,1853.80
59,29.514000,1.978395,35.630000,1.811039,0.815418,1884.63
