epoch,train_loss,global_test_acc,global_test_loss,correction_apa,correction_loss,core_ratio,recover_clean_ratio,corrected_ratio,net1_train_ratio,correction_trigger,core_count,recover_clean_count,corrected_count,net1_return_count,net1_train_count,net2_train_count,total_count,actual_net1_label_correct_count,actual_round_clean_count,selected_original_clean_count,missed_clean_count,false_train_label_count,correction_correct_count,correction_false_count,persistent_update_count,correction_acc,agg_weight_sum,actual_net1_label_correct_ratio,orig_clean_recall
73,1.323847,32.510000,1.970221,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,16132,16132,16132,0,8868,0,0,0,0.000000,25000.000000,0.645280,1.000000
74,1.402628,31.940000,1.980398,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15008,15008,15008,0,9992,0,0,0,0.000000,25000.000000,0.600320,1.000000
75,1.366017,34.810000,1.962487,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15592,15592,15592,0,9408,0,0,0,0.000000,25000.000000,0.623680,1.000000
76,1.458339,34.170000,1.962317,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14772,14772,14772,0,10228,0,0,0,0.000000,25000.000000,0.590880,1.000000
77,1.335406,31.800000,1.973546,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15928,15928,15928,0,9072,0,0,0,0.000000,25000.000000,0.637120,1.000000
78,1.406896,34.910000,1.943798,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15068,15068,15068,0,9932,0,0,0,0.000000,25000.000000,0.602720,1.000000
79,1.397498,32.610000,1.973531,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15644,15644,15644,0,9356,0,0,0,0.000000,25000.000000,0.625760,1.000000
80,1.460270,31.820000,1.992619,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14560,14560,14560,0,10440,0,0,0,0.000000,25000.000000,0.582400,1.000000
81,1.374921,32.410000,1.981049,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15372,15372,15372,0,9628,0,0,0,0.000000,25000.000000,0.614880,1.000000
82,1.408798,32.650000,1.976768,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15220,15220,15220,0,9780,0,0,0,0.000000,25000.000000,0.608800,1.000000
